Plan_ID,Employee_ID,Plan_Status,Target_Competency_ID,Development_Action,Milestone_30_Days,Milestone_60_Days,Milestone_90_Days,Mentor_Employee_ID,Planned_Training_Hours,Kirkpatrick_L1_Reaction_Score,Kirkpatrick_L2_Learning_Percent,Kirkpatrick_L3_Behavior_Status,Kirkpatrick_L4_Result_Measure
IDP-2026-001,APD-2026-001,Active,COMP-001,Guided practice sprint,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-014,12,4.4,86.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-002,APD-2026-002,Active,COMP-004,Stretch assignment,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-015,16,4.5,87.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-003,APD-2026-003,Active,COMP-007,Peer calibration lab,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-016,20,4.6,88.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-004,APD-2026-004,Active,COMP-010,Mentored work sample,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-017,24,4.7,89.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-005,APD-2026-005,Active,COMP-013,Scenario rehearsal,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-018,28,4.8,90.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-006,APD-2026-006,Active,COMP-016,Cross-functional rotation,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-019,12,4.4,86.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-007,APD-2026-007,Active,COMP-019,Facilitated action learning,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-020,16,4.5,87.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-008,APD-2026-008,Active,COMP-002,Guided practice sprint,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-021,20,4.6,88.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-009,APD-2026-009,Active,COMP-005,Stretch assignment,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-022,24,4.7,89.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-010,APD-2026-010,Active,COMP-008,Peer calibration lab,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-023,28,4.8,90.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-011,APD-2026-011,Active,COMP-011,Mentored work sample,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-024,12,4.4,86.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-012,APD-2026-012,Active,COMP-014,Scenario rehearsal,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-025,16,4.5,87.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-013,APD-2026-013,Active,COMP-017,Cross-functional rotation,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-026,20,4.6,88.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-014,APD-2026-014,Active,COMP-020,Facilitated action learning,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-027,24,4.7,89.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-015,APD-2026-015,Active,COMP-003,Guided practice sprint,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-028,28,4.8,90.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-016,APD-2026-016,Active,COMP-006,Stretch assignment,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-029,12,4.4,86.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-017,APD-2026-017,Active,COMP-009,Peer calibration lab,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-030,16,4.5,87.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-018,APD-2026-018,Active,COMP-012,Mentored work sample,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-031,20,4.6,88.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-019,APD-2026-019,Active,COMP-015,Scenario rehearsal,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-032,24,4.7,89.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-020,APD-2026-020,Active,COMP-018,Cross-functional rotation,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-033,28,4.8,90.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-021,APD-2026-021,Active,COMP-001,Facilitated action learning,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-034,12,4.4,86.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-022,APD-2026-022,Active,COMP-004,Guided practice sprint,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-035,16,4.5,87.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
IDP-2026-023,APD-2026-023,Active,COMP-007,Stretch assignment,Baseline assessment and learning contract,Applied practice with mentor feedback,Evidence review and proficiency reassessment,APD-2026-036,20,4.6,88.6,Verified,Governed cohort outcome: Yield +24.6%; Scrap -18.2%; Savings ₹4.8 lakhs
