Month,Department,Opening_Headcount,Hires,Exits,Closing_Headcount,Payroll_Cost_AED,Payroll_Budget_AED
2024-08,Operations,142,1,1,142,1448400,1454800
2024-08,Sales,92,0,1,91,1128400,1138300
2024-08,Customer Experience,86,1,1,86,799800,806900
2024-08,Technology,72,0,1,71,1263800,1251000
2024-08,Finance,48,2,1,49,695800,706700
2024-08,People & Culture,41,1,0,42,550200,554400
2024-09,Operations,142,3,2,143,1462200,1444600
2024-09,Sales,91,1,1,91,1131200,1149400
2024-09,Customer Experience,86,1,1,86,801800,795400
2024-09,Technology,71,1,1,71,1267000,1261100
2024-09,Finance,49,0,0,49,697500,704600
2024-09,People & Culture,42,2,1,43,564700,557700
2024-10,Operations,143,2,2,143,1465900,1474900
2024-10,Sales,91,1,1,91,1134000,1146400
2024-10,Customer Experience,86,0,0,86,803800,787300
2024-10,Technology,71,1,1,71,1270100,1281800
2024-10,Finance,49,0,0,49,699300,694200
2024-10,People & Culture,43,0,0,43,566100,573200
2024-11,Operations,143,2,1,144,1479800,1465500
2024-11,Sales,91,1,1,91,1136900,1114000
2024-11,Customer Experience,86,1,1,86,805800,833000
2024-11,Technology,71,1,1,71,1273300,1246200
2024-11,Finance,49,1,0,50,715300,720400
2024-11,People & Culture,43,1,0,44,580700,592700
2024-12,Operations,144,2,2,144,1483500,1484900
2024-12,Sales,91,0,0,91,1139700,1151600
2024-12,Customer Experience,86,0,1,85,798400,812500
2024-12,Technology,71,2,1,72,1294400,1334100
2024-12,Finance,50,1,0,51,731400,725500
2024-12,People & Culture,44,0,0,44,582200,588200
2025-01,Operations,144,0,1,143,1476800,1461400
2025-01,Sales,91,2,1,92,1155100,1156800
2025-01,Customer Experience,85,0,0,85,800400,783500
2025-01,Technology,72,1,1,72,1297600,1323100
2025-01,Finance,51,0,0,51,733300,753700
2025-01,People & Culture,44,0,1,43,570300,587800
2025-02,Operations,143,1,2,142,1470100,1511100
2025-02,Sales,92,1,1,92,1157900,1182000
2025-02,Customer Experience,85,2,1,86,811800,817600
2025-02,Technology,72,1,0,73,1318900,1316300
2025-02,Finance,51,1,1,51,735100,754500
2025-02,People & Culture,43,1,0,44,585000,588400
2025-03,Operations,142,1,2,141,1463400,1501800
2025-03,Sales,92,2,1,93,1173400,1210300
2025-03,Customer Experience,86,0,1,85,804300,803300
2025-03,Technology,73,2,1,74,1340300,1377200
2025-03,Finance,51,1,0,52,751300,747300
2025-03,People & Culture,44,1,1,44,586500,602300
2025-04,Operations,141,1,1,141,1467000,1497100
2025-04,Sales,93,1,1,93,1176300,1164500
2025-04,Customer Experience,85,1,1,85,806300,823500
2025-04,Technology,74,1,1,74,1343500,1360100
2025-04,Finance,52,0,0,52,753200,743500
2025-04,People & Culture,44,1,0,45,601300,615500
2025-05,Operations,141,2,1,142,1481000,1474800
2025-05,Sales,93,1,1,93,1179100,1157300
2025-05,Customer Experience,85,0,1,84,798800,798000
2025-05,Technology,74,2,1,75,1365000,1373300
2025-05,Finance,52,0,0,52,755000,769100
2025-05,People & Culture,45,1,0,46,616200,621600
2025-06,Operations,142,2,1,143,1495100,1540700
2025-06,Sales,93,1,1,93,1182000,1169200
2025-06,Customer Experience,84,2,1,85,810300,825300
2025-06,Technology,75,0,0,75,1368400,1364500
2025-06,Finance,52,1,1,52,756900,755500
2025-06,People & Culture,46,1,0,47,631100,648000
2025-07,Operations,143,1,1,143,1498700,1516200
2025-07,Sales,93,1,1,93,1184900,1222400
2025-07,Customer Experience,85,1,1,85,812200,801500
2025-07,Technology,75,1,1,75,1371700,1376700
2025-07,Finance,52,2,1,53,773300,773600
2025-07,People & Culture,47,0,0,47,632600,649200
2025-08,Operations,143,1,1,143,1502400,1552200
2025-08,Sales,93,0,0,93,1187800,1193800
2025-08,Customer Experience,85,1,1,85,814200,831400
2025-08,Technology,75,2,1,76,1393400,1390800
2025-08,Finance,53,1,1,53,775200,798900
2025-08,People & Culture,47,1,1,47,634200,629600
2025-09,Operations,143,2,1,144,1516500,1562500
2025-09,Sales,93,2,2,93,1190700,1190300
2025-09,Customer Experience,85,2,1,86,825800,831100
2025-09,Technology,76,3,1,78,1433500,1452100
2025-09,Finance,53,0,1,52,762400,770300
2025-09,People & Culture,47,1,1,47,635700,647100
2025-10,Operations,144,2,1,145,1530800,1531200
2025-10,Sales,93,0,1,92,1180700,1220300
2025-10,Customer Experience,86,2,1,87,837400,824900
2025-10,Technology,78,0,0,78,1437000,1406800
2025-10,Finance,52,0,1,51,749500,765700
2025-10,People & Culture,47,2,1,48,650800,665300
2025-11,Operations,145,3,2,146,1545000,1558700
2025-11,Sales,92,0,0,92,1183600,1182000
2025-11,Customer Experience,87,2,1,88,849100,865300
2025-11,Technology,78,3,1,80,1477400,1486100
2025-11,Finance,51,2,1,52,766100,771900
2025-11,People & Culture,48,1,0,49,666000,684100
2025-12,Operations,146,2,1,147,1559400,1611500
2025-12,Sales,92,2,1,93,1199300,1215800
2025-12,Customer Experience,88,0,1,87,841500,867900
2025-12,Technology,80,1,1,80,1481000,1456000
2025-12,Finance,52,1,1,52,767900,794700
2025-12,People & Culture,49,2,1,50,681200,666500
2026-01,Operations,147,2,1,148,1573800,1590900
2026-01,Sales,93,2,1,94,1215100,1190500
2026-01,Customer Experience,87,2,1,88,853200,837800
2026-01,Technology,80,3,1,82,1521600,1521000
2026-01,Finance,52,2,1,53,784600,798300
2026-01,People & Culture,50,0,1,49,669200,682700
2026-02,Operations,148,3,2,149,1588200,1633400
2026-02,Sales,94,1,1,94,1218100,1193600
2026-02,Customer Experience,88,0,1,87,845500,844800
2026-02,Technology,82,1,1,82,1525300,1511200
2026-02,Finance,53,2,1,54,801300,817400
2026-02,People & Culture,49,1,1,49,670800,672100
2026-03,Operations,149,3,2,150,1602700,1631500
2026-03,Sales,94,1,0,95,1234000,1218100
2026-03,Customer Experience,87,2,1,88,857300,866100
2026-03,Technology,82,3,1,84,1566200,1532400
2026-03,Finance,54,1,1,54,803200,808700
2026-03,People & Culture,49,2,1,50,686100,700700
2026-04,Operations,150,3,1,152,1627900,1650700
2026-04,Sales,95,2,1,96,1249900,1262200
2026-04,Customer Experience,88,1,1,88,859300,885100
2026-04,Technology,84,2,1,85,1588600,1607900
2026-04,Finance,54,2,1,55,820000,834600
2026-04,People & Culture,50,2,1,51,701500,699700
2026-05,Operations,152,3,1,154,1653300,1662800
2026-05,Sales,96,1,1,96,1252900,1251800
2026-05,Customer Experience,88,1,1,88,861400,853500
2026-05,Technology,85,2,1,86,1611200,1614700
2026-05,Finance,55,1,1,55,822000,809000
2026-05,People & Culture,51,1,1,51,703200,715000
2026-06,Operations,154,4,2,156,1678700,1727500
2026-06,Sales,96,1,1,96,1255900,1255300
2026-06,Customer Experience,88,1,1,88,863400,870800
2026-06,Technology,86,3,1,88,1652600,1706500
2026-06,Finance,55,2,1,56,838900,826700
2026-06,People & Culture,51,2,1,52,718700,735400
2026-07,Operations,156,3,4,155,1671900,1677700
2026-07,Sales,96,2,1,97,1272000,1312100
2026-07,Customer Experience,88,0,1,87,855600,874700
2026-07,Technology,88,2,0,90,1694100,1752100
2026-07,Finance,56,2,1,57,855900,847700
2026-07,People & Culture,52,0,0,52,720400,738300
