Interview_ID,Candidate_ID,Requisition_ID,Stage_Name,Interviewer_ID,Interviewer_Role,Scheduled_Date,Feedback_Submitted_Date,Turnaround_Hours,SLA_Met,BARS_Score_1,BARS_Score_2,BARS_Score_3,BARS_Score_4,Mean_BARS_Score,Notes_Summary
INT-2026-0001,CAND-2026-0001,REQ-2026-ENG-G4,Work Sample Review,APD-INT-001,Technical Assessor,2026-01-30,2026-02-02,56.0,No,4.5,4.6,4.7,4.8,4.65,Work sample evidence recorded against the controlled scoring key
INT-2026-0002,CAND-2026-0001,REQ-2026-ENG-G4,Structured Interview A,APD-INT-002,Hiring Manager,2026-02-01,2026-02-04,63.0,No,4.5,4.6,4.7,4.8,4.65,Behavioral evidence mapped to published BARS anchors
INT-2026-0003,CAND-2026-0001,REQ-2026-ENG-G4,Structured Interview B,APD-INT-003,Cross-functional Panelist,2026-02-03,2026-02-06,70.0,No,4.5,4.6,4.7,4.8,4.65,Independent follow-up evidence locked before panel release
INT-2026-0004,CAND-2026-0001,REQ-2026-ENG-G4,Calibration Review,APD-INT-004,Talent Acquisition Partner,2026-02-05,2026-02-08,53.0,No,4.5,4.6,4.7,4.8,4.65,Composite and decision evidence reviewed in calibration
INT-2026-0005,CAND-2026-0002,REQ-2026-ENG-G4,Work Sample Review,APD-INT-005,Technical Assessor,2026-01-24,2026-01-26,30.0,Yes,4.6,4.7,4.8,4.4,4.63,Work sample evidence recorded against the controlled scoring key
INT-2026-0006,CAND-2026-0002,REQ-2026-ENG-G4,Structured Interview A,APD-INT-006,Hiring Manager,2026-01-26,2026-01-28,41.0,Yes,4.6,4.7,4.8,4.4,4.63,Behavioral evidence mapped to published BARS anchors
INT-2026-0007,CAND-2026-0002,REQ-2026-ENG-G4,Structured Interview B,APD-INT-007,Cross-functional Panelist,2026-01-28,2026-01-29,15.0,Yes,4.6,4.7,4.8,4.4,4.63,Independent follow-up evidence locked before panel release
INT-2026-0008,CAND-2026-0002,REQ-2026-ENG-G4,Calibration Review,APD-INT-008,Talent Acquisition Partner,2026-01-30,2026-02-01,26.0,Yes,4.6,4.7,4.8,4.4,4.63,Composite and decision evidence reviewed in calibration
INT-2026-0009,CAND-2026-0003,REQ-2026-ENG-G4,Work Sample Review,APD-INT-009,Technical Assessor,2026-01-31,2026-02-02,37.0,Yes,4.7,4.8,4.4,4.5,4.60,Work sample evidence recorded against the controlled scoring key
INT-2026-0010,CAND-2026-0003,REQ-2026-ENG-G4,Structured Interview A,APD-INT-010,Hiring Manager,2026-02-02,2026-02-04,48.0,Yes,4.7,4.8,4.4,4.5,4.60,Behavioral evidence mapped to published BARS anchors
INT-2026-0011,CAND-2026-0003,REQ-2026-ENG-G4,Structured Interview B,APD-INT-011,Cross-functional Panelist,2026-02-04,2026-02-05,22.0,Yes,4.7,4.8,4.4,4.5,4.60,Independent follow-up evidence locked before panel release
INT-2026-0012,CAND-2026-0003,REQ-2026-ENG-G4,Calibration Review,APD-INT-012,Talent Acquisition Partner,2026-02-06,2026-02-08,33.0,Yes,4.7,4.8,4.4,4.5,4.60,Composite and decision evidence reviewed in calibration
INT-2026-0013,CAND-2026-0004,REQ-2026-ENG-G4,Work Sample Review,APD-INT-013,Technical Assessor,2026-01-25,2026-01-27,44.0,Yes,4.5,4.6,4.7,4.8,4.65,Work sample evidence recorded against the controlled scoring key
INT-2026-0014,CAND-2026-0004,REQ-2026-ENG-G4,Structured Interview A,APD-INT-014,Hiring Manager,2026-01-27,2026-01-28,18.0,Yes,4.5,4.6,4.7,4.8,4.65,Behavioral evidence mapped to published BARS anchors
INT-2026-0015,CAND-2026-0004,REQ-2026-ENG-G4,Structured Interview B,APD-INT-015,Cross-functional Panelist,2026-01-29,2026-01-31,29.0,Yes,4.5,4.6,4.7,4.8,4.65,Independent follow-up evidence locked before panel release
