Employee_ID,Department,Job_Family,Job_Level,Location,Gender,Workforce_Category,Employment_Type,Hire_Date,Exit_Date,Employment_Status,Monthly_Salary_AED,Band_Mid_AED,Compa_Ratio,Performance_Rating,Engagement_Score,Training_Hours_YTD,Absence_Days_YTD,Critical_Role,Regrettable_Exit
UAE-SYN-0001,Finance,Finance,L3,Sharjah,Man,International,Permanent,2023-02-24,2025-02-08,Exited,19700,21600,0.912,4,75,15,6,No,Yes
UAE-SYN-0002,Operations,Operations,L1,Dubai,Man,UAE National,Permanent,2024-07-23,,Active,7500,7200,1.042,5,80,49,8,No,
UAE-SYN-0003,Customer Experience,Customer Experience,L1,Dubai,Woman,International,Permanent,2024-11-08,,Active,6300,6800,0.926,4,71,31,8,No,
UAE-SYN-0004,Customer Experience,Customer Experience,L1,Dubai,Woman,International,Permanent,2021-06-19,,Active,7200,6800,1.059,3,74,46,6,No,
UAE-SYN-0005,Technology,Technology,L2,Sharjah,Man,International,Permanent,2023-06-08,,Active,17300,17800,0.972,2,50,22,6,No,
UAE-SYN-0006,Operations,Operations,L2,Sharjah,Woman,International,Permanent,2020-11-09,,Active,12400,11200,1.107,4,91,35,6,No,
UAE-SYN-0007,Customer Experience,Customer Experience,L1,Dubai,Man,International,Permanent,2022-04-08,,Active,6000,6800,0.882,2,57,14,7,No,
UAE-SYN-0008,Operations,Operations,L1,Dubai,Woman,International,Permanent,2017-12-20,,Active,6800,7200,0.944,5,58,25,10,No,
UAE-SYN-0009,Technology,Technology,L3,Dubai,Man,International,Permanent,2017-07-25,,Active,29000,27000,1.074,3,49,4,14,Yes,
UAE-SYN-0010,Finance,Finance,L3,Abu Dhabi,Woman,International,Permanent,2021-05-03,,Active,20900,21600,0.968,3,64,26,4,No,
UAE-SYN-0011,Finance,Finance,L3,Dubai,Woman,International,Fixed-term,2022-01-13,,Active,19500,21600,0.903,5,80,36,6,Yes,
UAE-SYN-0012,Customer Experience,Customer Experience,L2,Dubai,Woman,International,Permanent,2023-11-04,2026-07-10,Exited,10200,10500,0.971,3,59,24,3,No,No
UAE-SYN-0013,Finance,Finance,L1,Dubai,Man,International,Permanent,2021-02-21,2025-05-24,Exited,8800,9200,0.957,3,64,9,7,No,No
UAE-SYN-0014,Technology,Technology,L1,Abu Dhabi,Man,International,Permanent,2022-10-19,2024-10-17,Exited,10900,11500,0.948,5,77,36,6,No,Yes
UAE-SYN-0015,Customer Experience,Customer Experience,L3,Sharjah,Man,International,Permanent,2022-03-13,,Active,16700,16000,1.044,2,62,18,3,No,
UAE-SYN-0016,Sales,Commercial,L2,Dubai,Woman,International,Fixed-term,2021-07-26,,Active,11700,12700,0.921,3,87,23,6,No,
UAE-SYN-0017,Operations,Operations,L1,Dubai,Woman,International,Permanent,2019-04-14,,Active,6800,7200,0.944,4,59,11,6,No,
UAE-SYN-0018,People & Culture,People & Culture,L2,Sharjah,Woman,International,Permanent,2019-08-29,,Active,13200,13000,1.015,5,67,17,6,Yes,
UAE-SYN-0019,Operations,Operations,L1,Abu Dhabi,Man,International,Permanent,2025-01-20,,Active,7500,7200,1.042,3,78,27,7,No,
UAE-SYN-0020,Technology,Technology,L1,Dubai,Woman,International,Permanent,2019-04-18,2026-07-10,Exited,10700,11500,0.93,2,70,25,0,No,No
UAE-SYN-0021,People & Culture,People & Culture,L1,Abu Dhabi,Man,International,Permanent,2018-09-22,,Active,8800,8400,1.048,4,96,32,8,No,
UAE-SYN-0022,Sales,Commercial,L1,Abu Dhabi,Man,International,Permanent,2026-02-14,,Active,7100,8200,0.866,4,70,30,6,No,
UAE-SYN-0023,Sales,Commercial,L4,Dubai,Woman,UAE National,Fixed-term,2020-10-20,2024-09-26,Exited,30400,29100,1.045,4,85,14,8,No,Yes
UAE-SYN-0024,Sales,Commercial,L1,Abu Dhabi,Man,UAE National,Permanent,2018-05-07,,Active,7900,8200,0.963,3,82,5,7,No,
UAE-SYN-0025,Sales,Commercial,L1,Dubai,Man,International,Permanent,2023-12-18,2025-05-04,Exited,7800,8200,0.951,3,70,21,10,No,No
UAE-SYN-0026,Finance,Finance,L1,Abu Dhabi,Man,International,Fixed-term,2023-07-28,,Active,7900,9200,0.859,4,89,25,10,No,
UAE-SYN-0027,Customer Experience,Customer Experience,L1,Dubai,Woman,International,Permanent,2024-02-22,2025-10-06,Exited,6500,6800,0.956,4,82,15,2,No,Yes
UAE-SYN-0028,Operations,Operations,L2,Dubai,Man,International,Permanent,2025-04-14,,Active,12100,11200,1.08,4,88,28,6,No,
UAE-SYN-0029,Operations,Operations,L2,Dubai,Man,International,Permanent,2023-02-13,2025-08-05,Exited,10600,11200,0.946,4,87,36,8,No,Yes
UAE-SYN-0030,Operations,Operations,L1,Dubai,Man,UAE National,Permanent,2017-01-31,2025-06-03,Exited,6900,7200,0.958,4,81,21,7,Yes,Yes
UAE-SYN-0031,Operations,Operations,L3,Dubai,Woman,International,Permanent,2021-11-23,,Active,17200,16900,1.018,4,81,24,8,No,
UAE-SYN-0032,Operations,Operations,L3,Dubai,Woman,International,Permanent,2019-12-12,,Active,16800,16900,0.994,2,58,43,3,No,
UAE-SYN-0033,Customer Experience,Customer Experience,L2,Dubai,Man,International,Permanent,2026-06-03,,Active,9600,10500,0.914,3,62,60,6,No,
UAE-SYN-0034,Operations,Operations,L2,Dubai,Woman,UAE National,Permanent,2024-11-06,,Active,10500,11200,0.938,4,89,4,5,No,
UAE-SYN-0035,Finance,Finance,L2,Dubai,Man,International,Permanent,2022-03-07,2025-05-14,Exited,12800,14300,0.895,4,84,48,5,No,Yes
UAE-SYN-0036,Operations,Operations,L3,Dubai,Man,International,Permanent,2022-12-23,,Active,15300,16900,0.905,4,69,32,5,No,
UAE-SYN-0037,Operations,Operations,L2,Dubai,Woman,International,Permanent,2019-02-27,,Active,11100,11200,0.991,5,51,45,8,Yes,
