Candidate_ID,Full_Name,Gender,Demographic_Cohort,Requisition_ID,Applied_Date,Source_Channel,Current_Stage,Disposition_Reason,Resume_Screen_Score,Phone_Screen_Score,Work_Sample_Score,Structured_Interview_Score,Job_Knowledge_Score,Composite_Score,Subjective_Impression_Score,Bias_Variance_Gap,Offer_Extended,Offer_Accepted,Hired_Date
CAND-2026-0001,Synthetic Candidate 0001,Male,Reference Group,REQ-2026-ENG-G4,2026-01-12,Skills Academy,Hired,Selected - highest governed composite,4.10,4.30,4.80,4.65,4.60,4.70,5.00,0.30,Yes,Yes,2026-02-08
CAND-2026-0002,Synthetic Candidate 0002,Male,Reference Group,REQ-2026-ENG-G4,2026-01-06,Direct Career Portal,Hired,Selected - highest governed composite,3.40,3.80,4.60,4.63,4.80,4.65,5.00,0.35,Yes,Yes,2026-02-08
CAND-2026-0003,Synthetic Candidate 0003,Male,Reference Group,REQ-2026-ENG-G4,2026-01-13,Regional Hiring Drive,Hired,Selected - highest governed composite,4.10,3.30,4.90,4.60,4.50,4.70,5.00,0.30,Yes,Yes,2026-02-08
CAND-2026-0004,Synthetic Candidate 0004,Female,Focal Group,REQ-2026-ENG-G4,2026-01-07,Employee Referral,Hired,Selected - highest governed composite,3.40,4.40,4.80,4.65,4.60,4.70,4.90,0.20,Yes,Yes,2026-02-08
CAND-2026-0005,Synthetic Candidate 0005,Female,Focal Group,REQ-2026-ENG-G4,2026-01-14,LinkedIn Recruiter,Hired,Selected - highest governed composite,4.10,3.90,4.60,4.63,4.80,4.65,4.75,0.10,Yes,Yes,2026-02-08
CAND-2026-0006,Synthetic Candidate 0006,Male,Reference Group,REQ-2026-ENG-G4,2026-01-08,Skills Academy,Hired,Selected - highest governed composite,3.40,3.40,4.70,4.58,4.70,4.65,4.65,0.00,Yes,Yes,2026-02-08
CAND-2026-0007,Synthetic Candidate 0007,Male,Reference Group,REQ-2026-ENG-G4,2026-01-15,Direct Career Portal,Hired,Selected - highest governed composite,4.10,4.50,4.50,4.55,4.40,4.50,4.40,-0.10,Yes,Yes,2026-02-08
CAND-2026-0008,Synthetic Candidate 0008,Male,Reference Group,REQ-2026-ENG-G4,2026-01-09,Regional Hiring Drive,Hired,Selected - highest governed composite,3.40,4.00,4.80,4.65,4.60,4.70,4.50,-0.20,Yes,Yes,2026-02-08
CAND-2026-0009,Synthetic Candidate 0009,Female,Focal Group,REQ-2026-ENG-G4,2026-01-16,Employee Referral,Hired,Selected - highest governed composite,4.10,3.50,4.90,4.60,4.50,4.70,4.40,-0.30,Yes,Yes,2026-02-08
CAND-2026-0010,Synthetic Candidate 0010,Female,Focal Group,REQ-2026-ENG-G4,2026-01-10,LinkedIn Recruiter,Hired,Selected - highest governed composite,3.40,4.60,4.70,4.58,4.70,4.65,5.00,0.35,Yes,Yes,2026-02-08
CAND-2026-0011,Synthetic Candidate 0011,Male,Reference Group,REQ-2026-ENG-G4,2026-01-17,Skills Academy,Interview Complete,Composite below requisition threshold,4.10,4.10,3.20,3.40,3.60,3.36,3.76,0.40,No,No,
CAND-2026-0012,Synthetic Candidate 0012,Male,Reference Group,REQ-2026-ENG-G4,2026-01-11,Direct Career Portal,Interview Complete,Composite below requisition threshold,3.40,3.60,3.70,3.58,3.10,3.53,3.83,0.30,No,No,
CAND-2026-0013,Synthetic Candidate 0013,Male,Reference Group,REQ-2026-ENG-G4,2026-01-05,Regional Hiring Drive,Interview Complete,Halo Effect control - evidence did not support override,4.10,4.70,4.00,3.80,4.00,3.92,4.60,0.68,No,No,
CAND-2026-0014,Synthetic Candidate 0014,Female,Focal Group,REQ-2026-ENG-G4,2026-01-12,Employee Referral,Interview Complete,Composite below requisition threshold,3.40,4.20,3.60,3.65,3.30,3.56,3.66,0.10,No,No,
CAND-2026-0015,Synthetic Candidate 0015,Female,Focal Group,REQ-2026-ENG-G4,2026-01-06,LinkedIn Recruiter,Interview Complete,Composite below requisition threshold,4.10,3.70,4.10,3.83,4.00,3.97,3.97,0.00,No,No,
CAND-2026-0016,Synthetic Candidate 0016,Male,Reference Group,REQ-2026-ENG-G4,2026-01-13,Skills Academy,Interview Complete,Composite below requisition threshold,3.40,3.20,3.50,3.73,3.50,3.59,3.49,-0.10,No,No,
CAND-2026-0017,Synthetic Candidate 0017,Male,Reference Group,REQ-2026-ENG-G4,2026-01-07,Direct Career Portal,Interview Complete,Composite below requisition threshold,4.10,4.30,4.00,3.63,4.20,3.89,3.69,-0.20,No,No,
CAND-2026-0018,Synthetic Candidate 0018,Male,Reference Group,REQ-2026-ENG-G4,2026-01-14,Regional Hiring Drive,Interview Complete,Composite below requisition threshold,3.40,3.80,3.40,3.53,3.70,3.51,3.21,-0.30,No,No,
CAND-2026-0019,Synthetic Candidate 0019,Female,Focal Group,REQ-2026-ENG-G4,2026-01-08,Employee Referral,Interview Complete,Composite below requisition threshold,4.10,3.30,3.90,3.70,3.20,3.68,4.18,0.50,No,No,
CAND-2026-0020,Synthetic Candidate 0020,Female,Focal Group,REQ-2026-ENG-G4,2026-01-15,LinkedIn Recruiter,Interview Complete,Composite below requisition threshold,3.40,4.40,3.30,3.35,3.90,3.44,3.84,0.40,No,No,
CAND-2026-0021,Synthetic Candidate 0021,Male,Reference Group,REQ-2026-ENG-G4,2026-01-09,Skills Academy,Interview Complete,Composite below requisition threshold,4.10,3.90,3.80,3.78,3.40,3.71,4.01,0.30,No,No,
CAND-2026-0022,Synthetic Candidate 0022,Male,Reference Group,REQ-2026-ENG-G4,2026-01-16,Direct Career Portal,Interview Complete,Composite below requisition threshold,3.40,3.40,3.20,3.40,4.10,3.46,3.66,0.20,No,No,
