Employee_ID,Synthetic_Name,Department,Grade,Performance_Score,Potential_Score,9_Box_Category,Technical_Mastery_Percent,Compliance_Mastery_Percent,Leadership_Mastery_Percent,Overall_Mastery_Percent,Mean_Skill_Gap
APD-2026-001,Synthetic Colleague 001,Engineering,G1,3,3,Star Talent,91.4,90.8,88.4,90.2,-0.30
APD-2026-002,Synthetic Colleague 002,Engineering,G2,3,3,Star Talent,91.4,90.8,90.2,90.8,-0.36
APD-2026-003,Synthetic Colleague 003,Engineering,G3,3,3,Star Talent,91.4,90.8,92.0,91.4,-0.42
APD-2026-004,Synthetic Colleague 004,Engineering,G4,3,3,Star Talent,91.4,93.2,91.4,92.0,-0.48
APD-2026-005,Synthetic Colleague 005,Engineering,G5,3,3,Star Talent,91.4,91.4,95.0,92.6,-0.54
APD-2026-006,Synthetic Colleague 006,Engineering,G1,3,3,Star Talent,91.4,90.8,88.4,90.2,-0.60
APD-2026-007,Synthetic Colleague 007,Engineering,G2,3,3,Star Talent,91.4,90.8,90.2,90.8,-0.66
APD-2026-008,Synthetic Colleague 008,Engineering,G3,3,3,Star Talent,91.4,90.8,92.0,91.4,-0.30
APD-2026-009,Synthetic Colleague 009,Engineering,G4,3,3,Star Talent,91.4,93.2,91.4,92.0,-0.36
APD-2026-010,Synthetic Colleague 010,Engineering,G5,3,3,Star Talent,91.4,91.4,95.0,92.6,-0.42
APD-2026-011,Synthetic Colleague 011,Engineering,G1,3,3,Star Talent,91.4,90.8,88.4,90.2,-0.48
APD-2026-012,Synthetic Colleague 012,Engineering,G2,3,3,Star Talent,91.4,90.8,90.2,90.8,-0.54
APD-2026-013,Synthetic Colleague 013,Engineering,G3,3,3,Star Talent,91.4,90.8,92.0,91.4,-0.60
APD-2026-014,Synthetic Colleague 014,Engineering,G4,3,3,Star Talent,91.4,93.2,91.4,92.0,-0.66
APD-2026-015,Synthetic Colleague 015,Engineering,G5,2,3,High Potential,83.4,83.4,87.0,84.6,-0.30
APD-2026-016,Synthetic Colleague 016,Engineering,G1,2,3,High Potential,83.4,82.8,80.4,82.2,-0.36
APD-2026-017,Synthetic Colleague 017,Engineering,G2,2,3,High Potential,83.4,82.8,82.2,82.8,-0.42
APD-2026-018,Synthetic Colleague 018,Engineering,G3,2,3,High Potential,83.4,82.8,84.0,83.4,-0.48
APD-2026-019,Synthetic Colleague 019,Engineering,G4,2,3,High Potential,83.4,85.2,83.4,84.0,-0.54
APD-2026-020,Synthetic Colleague 020,Engineering,G5,2,3,High Potential,83.4,83.4,87.0,84.6,-0.60
APD-2026-021,Synthetic Colleague 021,Engineering,G1,2,3,High Potential,83.4,82.8,80.4,82.2,-0.66
APD-2026-022,Synthetic Colleague 022,Engineering,G2,2,3,High Potential,83.4,82.8,82.2,82.8,-0.30
APD-2026-023,Synthetic Colleague 023,Engineering,G3,1,3,Emerging Potential,72.4,71.8,73.0,72.4,-0.36
APD-2026-024,Synthetic Colleague 024,Engineering,G4,1,3,Emerging Potential,72.4,74.2,72.4,73.0,-0.42
APD-2026-025,Synthetic Colleague 025,Quality,G5,1,3,Emerging Potential,72.4,72.4,76.0,73.6,-0.48
APD-2026-026,Synthetic Colleague 026,Quality,G1,1,3,Emerging Potential,72.4,71.8,69.4,71.2,-0.54
APD-2026-027,Synthetic Colleague 027,Quality,G2,3,2,High Performer,87.4,86.8,86.2,86.8,-0.60
APD-2026-028,Synthetic Colleague 028,Quality,G3,3,2,High Performer,87.4,86.8,88.0,87.4,-0.66
APD-2026-029,Synthetic Colleague 029,Quality,G4,3,2,High Performer,87.4,89.2,87.4,88.0,-0.30
APD-2026-030,Synthetic Colleague 030,Quality,G5,3,2,High Performer,87.4,87.4,91.0,88.6,-0.36
APD-2026-031,Synthetic Colleague 031,Quality,G1,3,2,High Performer,87.4,86.8,84.4,86.2,-0.42
APD-2026-032,Synthetic Colleague 032,Quality,G2,3,2,High Performer,87.4,86.8,86.2,86.8,-0.48
APD-2026-033,Synthetic Colleague 033,Quality,G3,3,2,High Performer,87.4,86.8,88.0,87.4,-0.54
APD-2026-034,Synthetic Colleague 034,Quality,G4,3,2,High Performer,87.4,89.2,87.4,88.0,-0.60
APD-2026-035,Synthetic Colleague 035,Quality,G5,2,2,Core Contributor,80.4,80.4,84.0,81.6,-0.66
APD-2026-036,Synthetic Colleague 036,Quality,G1,2,2,Core Contributor,80.4,79.8,77.4,79.2,-0.30
APD-2026-037,Synthetic Colleague 037,Quality,G2,2,2,Core Contributor,80.4,79.8,79.2,79.8,-0.36
APD-2026-038,Synthetic Colleague 038,Quality,G3,2,2,Core Contributor,80.4,79.8,81.0,80.4,-0.42
APD-2026-039,Synthetic Colleague 039,Quality,G4,2,2,Core Contributor,80.4,82.2,80.4,81.0,-0.48
APD-2026-040,Synthetic Colleague 040,Quality,G5,2,2,Core Contributor,80.4,80.4,84.0,81.6,-0.54
APD-2026-041,Synthetic Colleague 041,Supply Chain,G1,2,2,Core Contributor,80.4,79.8,77.4,79.2,-0.60
